PassengerId,Pclass,Sex,Age,SibSp,Parch,Embarked,Survived
595,2,1,37.0,1,0,0,0
625,3,1,21.0,0,0,0,0
342,1,0,24.0,3,2,0,1
793,3,0,29.69911764705882,8,2,0,0
768,3,0,30.5,0,0,2,0
836,1,0,39.0,1,1,1,1
815,3,1,30.5,0,0,0,0
332,1,1,45.5,0,0,0,0
209,3,0,16.0,0,0,2,1
68,3,1,19.0,0,0,0,0
823,1,1,38.0,0,0,0,0
812,3,1,39.0,0,0,0,0
157,3,0,16.0,0,0,2,1
594,3,0,29.69911764705882,0,2,2,0
88,3,1,29.69911764705882,0,0,0,0
777,3,1,29.69911764705882,0,0,2,0
273,2,0,41.0,0,1,0,1
1,3,1,22.0,1,0,0,0
81,3,1,22.0,0,0,0,0
315,2,1,43.0,1,1,0,0
227,2,1,19.0,0,0,0,1
56,1,1,29.69911764705882,0,0,0,1
113,3,1,22.0,0,0,0,0
33,3,0,29.69911764705882,0,0,2,1
692,3,0,4.0,0,1,1,1
328,2,0,36.0,0,0,0,1
674,2,1,31.0,0,0,0,1
691,1,1,31.0,1,0,0,1
45,3,0,19.0,0,0,2,1
749,1,1,19.0,1,0,0,0
618,3,0,26.0,1,0,0,0
390,2,0,17.0,0,0,1,1
683,3,1,20.0,0,0,0,0
613,3,0,29.69911764705882,1,0,2,1
186,1,1,29.69911764705882,0,0,0,0
729,2,1,25.0,1,0,0,0
655,3,0,18.0,0,0,2,0
282,3,1,28.0,0,0,0,0
302,3,1,29.69911764705882,2,0,2,1
726,3,1,20.0,0,0,0,0
753,3,1,33.0,0,0,0,0
637,3,1,32.0,0,0,0,0
114,3,0,20.0,1,0,0,0
629,3,1,26.0,0,0,0,0
292,1,0,19.0,1,0,1,1
353,3,1,15.0,1,1,1,0
525,3,1,29.69911764705882,0,0,1,0
377,3,0,22.0,0,0,0,1
2,1,0,38.0,1,0,1,1
462,3,1,34.0,0,0,0,0
110,3,0,29.69911764705882,1,0,2,1
782,1,0,17.0,1,0,0,1
757,3,1,28.0,0,0,0,0
510,3,1,26.0,0,0,0,1
220,2,1,30.0,0,0,0,0
76,3,1,25.0,0,0,0,0
121,2,1,21.0,2,0,0,0
344,2,1,25.0,0,0,0,0
523,3,1,29.69911764705882,0,0,1,0
805,3,1,27.0,0,0,0,1
775,2,0,54.0,1,3,0,1
502,3,0,21.0,0,0,2,0
257,1,0,29.69911764705882,0,0,1,1
259,1,0,35.0,0,0,1,1
400,2,0,28.0,0,0,0,1
761,3,1,29.69911764705882,0,0,0,0
191,2,0,32.0,0,0,0,1
459,2,0,50.0,0,0,0,1
167,1,0,29.69911764705882,0,1,0,1
305,3,1,29.69911764705882,0,0,0,0
366,3,1,30.0,0,0,0,0
53,1,0,49.0,1,0,1,1
759,3,1,34.0,0,0,0,0
848,3,1,35.0,0,0,1,0
878,3,1,19.0,0,0,0,0
512,3,1,29.69911764705882,0,0,0,0
169,1,1,29.69911764705882,0,0,0,0
336,3,1,29.69911764705882,0,0,0,0
97,1,1,71.0,0,0,1,0
596,3,1,36.0,1,1,0,0
862,2,1,21.0,1,0,0,0
780,1,0,43.0,0,1,0,1
760,1,0,33.0,0,0,0,1
619,2,0,4.0,2,1,0,1
890,1,1,26.0,0,0,1,1
518,3,1,29.69911764705882,0,0,2,0
130,3,1,45.0,0,0,0,0
587,2,1,47.0,0,0,0,0
663,1,1,47.0,0,0,0,0
694,3,1,25.0,0,0,1,0
651,3,1,29.69911764705882,0,0,0,0
754,3,1,23.0,0,0,0,0
797,1,0,49.0,0,0,0,1
272,3,1,25.0,0,0,0,1
41,3,0,40.0,1,0,0,0
72,3,0,16.0,5,2,0,0
591,3,1,35.0,0,0,0,0
547,2,0,19.0,1,0,0,1
34,2,1,66.0,0,0,0,0
766,1,0,51.0,1,0,0,1
385,3,1,29.69911764705882,0,0,0,0
24,1,1,28.0,0,0,0,1
8,3,1,2.0,3,1,0,0
382,3,0,1.0,0,2,1,1
640,3,1,29.69911764705882,1,0,0,0
792,2,1,16.0,0,0,0,0
585,3,1,29.69911764705882,0,0,1,0
412,3,1,29.69911764705882,0,0,2,0
228,3,1,20.5,0,0,0,0
626,1,1,61.0,0,0,0,0
291,1,0,26.0,0,0,0,1
183,3,1,9.0,4,2,0,0
622,1,1,42.0,1,0,0,1
411,3,1,29.69911764705882,0,0,0,0
802,2,0,31.0,1,1,0,1
360,3,0,29.69911764705882,0,0,2,1
37,3,1,29.69911764705882,0,0,1,1
795,3,1,25.0,0,0,0,0
270,1,0,35.0,0,0,0,1
159,3,1,29.69911764705882,0,0,0,0
101,3,0,28.0,0,0,0,0
137,1,0,19.0,0,2,0,1
453,1,1,30.0,0,0,1,0
346,2,0,24.0,0,0,0,1
533,3,1,17.0,1,1,1,0
188,1,1,45.0,0,0,0,1
589,3,1,22.0,0,0,0,0
756,2,1,0.67,1,1,0,1
312,1,0,18.0,2,2,1,1
372,3,1,18.0,1,0,0,0
580,3,1,32.0,0,0,0,1
283,3,1,16.0,0,0,0,0
192,2,1,19.0,0,0,0,0
590,3,1,29.69911764705882,0,0,0,0
675,2,1,29.69911764705882,0,0,0,0
354,3,1,25.0,1,0,0,0
762,3,1,41.0,0,0,0,0
709,1,0,22.0,0,0,0,1
172,3,1,4.0,4,1,2,0
311,1,0,24.0,0,0,1,1
112,3,0,14.5,1,0,1,0
20,3,0,29.69911764705882,0,0,1,1
645,3,0,0.75,2,1,1,1
800,3,0,30.0,1,1,0,0
470,3,0,0.75,2,1,1,1
35,1,1,28.0,1,0,1,0
185,3,0,4.0,0,2,0,1
359,3,0,29.69911764705882,0,0,2,1
720,3,1,33.0,0,0,0,0
668,3,1,29.69911764705882,0,0,0,0
301,3,0,29.69911764705882,0,0,2,1
868,1,1,31.0,0,0,0,0
430,3,1,32.0,0,0,0,1
496,3,1,29.69911764705882,0,0,1,0
550,2,1,8.0,1,1,0,1
198,3,1,42.0,0,1,0,0
686,2,1,25.0,1,2,1,0
818,2,1,31.0,1,1,1,0
313,2,0,26.0,1,1,0,0
794,1,1,29.69911764705882,0,0,1,0
306,1,1,0.92,1,2,0,1
877,3,1,20.0,0,0,0,0
787,3,0,18.0,0,0,0,1
392,3,1,21.0,0,0,0,1
537,1,1,45.0,0,0,0,0
394,1,0,23.0,1,0,1,1
690,1,0,15.0,0,1,0,1
280,3,0,35.0,1,1,0,1
50,3,0,18.0,1,0,0,0
317,2,0,24.0,1,0,0,1
409,3,1,21.0,0,0,0,0
12,1,0,58.0,0,0,0,1
18,2,1,29.69911764705882,0,0,0,1
70,3,1,26.0,2,0,0,0
468,1,1,56.0,0,0,0,0
219,1,0,32.0,0,0,1,1
592,1,0,52.0,1,0,1,1
630,3,1,29.69911764705882,0,0,2,0
887,2,1,27.0,0,0,0,0
27,3,1,29.69911764705882,0,0,1,0
738,1,1,35.0,0,0,1,1
874,3,1,47.0,0,0,0,0
234,3,0,5.0,4,2,0,1
176,3,1,18.0,1,1,0,0
373,3,1,19.0,0,0,0,0
429,3,1,29.69911764705882,0,0,2,0
443,3,1,25.0,1,0,0,0
284,3,1,19.0,0,0,0,1
466,3,1,38.0,0,0,0,0
614,3,1,29.69911764705882,0,0,2,0
221,3,1,16.0,0,0,0,1
455,3,1,29.69911764705882,0,0,0,0
49,3,1,29.69911764705882,2,0,1,0
506,1,1,18.0,1,0,1,0
736,3,1,28.5,0,0,0,0
295,3,1,24.0,0,0,0,0
73,2,1,21.0,0,0,0,0
609,2,0,22.0,1,2,1,1
89,1,0,23.0,3,2,0,1
834,3,1,23.0,0,0,0,0
19,3,0,31.0,1,0,0,0
682,1,1,27.0,0,0,1,1
791,3,1,29.69911764705882,0,0,2,0
98,1,1,23.0,0,1,1,1
732,3,1,11.0,0,0,1,0
349,3,1,3.0,1,1,0,1
66,3,1,29.69911764705882,1,1,1,1
730,3,0,25.0,1,0,0,0
36,1,1,42.0,1,0,0,0
704,3,1,25.0,0,0,2,0
841,3,1,20.0,0,0,0,0
778,3,0,5.0,0,0,0,1
237,2,1,44.0,1,0,0,0
821,1,0,52.0,1,1,0,1
351,3,1,23.0,0,0,0,0
119,1,1,24.0,0,1,1,0
504,3,0,37.0,0,0,0,0
397,3,0,31.0,0,0,0,0
725,1,1,27.0,1,0,0,1
318,2,1,54.0,0,0,0,0
737,3,0,48.0,1,3,0,0
173,3,0,1.0,1,1,0,1
581,2,0,25.0,1,1,0,1
425,3,1,18.0,1,1,0,0
677,3,1,24.5,0,0,0,0
47,3,1,29.69911764705882,1,0,2,0
4,1,0,35.0,1,0,0,1
256,3,0,29.0,0,2,1,1
582,1,0,39.0,1,1,1,1
471,3,1,29.69911764705882,0,0,0,0
294,3,0,24.0,0,0,0,0
665,3,1,20.0,1,0,0,1
180,3,1,36.0,0,0,0,0
854,1,0,16.0,0,1,0,1
333,1,1,38.0,0,1,0,0
205,3,1,18.0,0,0,0,1
535,3,0,30.0,0,0,0,0
380,3,1,19.0,0,0,0,0
267,3,1,16.0,4,1,0,0
324,2,0,22.0,1,1,0,1
866,2,0,42.0,0,0,0,1
631,1,1,80.0,0,0,0,1
519,2,0,36.0,1,0,0,1
107,3,0,21.0,0,0,0,1
83,3,0,29.69911764705882,0,0,2,1
480,3,0,2.0,0,1,0,1
569,3,1,29.69911764705882,0,0,1,0
456,3,1,29.0,0,0,1,1
433,2,0,42.0,1,0,0,1
813,2,1,35.0,0,0,0,0
85,2,0,17.0,0,0,0,1
187,3,0,29.69911764705882,1,0,2,1
838,3,1,29.69911764705882,0,0,0,0
827,3,1,29.69911764705882,0,0,0,0
218,2,1,42.0,1,0,0,0
25,3,0,8.0,3,1,0,0
26,3,0,38.0,1,5,0,1
706,2,1,39.0,0,0,0,0
388,2,0,36.0,0,0,0,1
543,3,0,11.0,4,2,0,0
268,3,1,25.0,1,0,0,1
231,1,0,35.0,1,0,0,1
816,1,1,29.69911764705882,0,0,0,0
575,3,1,16.0,0,0,0,0
265,3,0,29.69911764705882,0,0,2,0
721,2,0,6.0,0,1,0,1
417,2,0,34.0,1,1,0,1
552,2,1,27.0,0,0,0,0
541,1,0,36.0,0,2,0,1
546,1,1,64.0,0,0,0,0
310,1,0,30.0,0,0,1,1
251,3,1,29.69911764705882,0,0,0,0
492,3,1,21.0,0,0,0,0
742,1,1,36.0,1,0,0,0
565,3,0,29.69911764705882,0,0,0,0
867,2,0,27.0,1,0,1,1
739,3,1,29.69911764705882,0,0,0,0
750,3,1,31.0,0,0,2,0
258,1,0,30.0,0,0,0,1
184,2,1,1.0,2,1,0,1
105,3,1,37.0,2,0,0,0
508,1,1,29.69911764705882,0,0,0,1
307,1,0,29.69911764705882,0,0,1,1
482,2,1,29.69911764705882,0,0,0,0
59,2,0,5.0,1,2,0,1
833,3,1,29.69911764705882,0,0,1,0
646,1,1,48.0,1,0,1,1
244,3,1,22.0,0,0,0,0
279,3,1,7.0,4,1,2,0
343,2,1,28.0,0,0,0,0
111,1,1,47.0,0,0,0,0
444,2,0,28.0,0,0,0,1
748,2,0,30.0,0,0,0,1
553,3,1,29.69911764705882,0,0,2,0
233,2,1,59.0,0,0,0,0
376,1,0,29.69911764705882,1,0,1,1
659,2,1,23.0,0,0,0,0
293,2,1,36.0,0,0,1,0
699,1,1,49.0,1,1,1,0
100,2,1,34.0,1,0,0,0
145,2,1,18.0,0,0,0,0
316,3,0,26.0,0,0,0,1
536,2,0,7.0,0,2,0,1
281,3,1,65.0,0,0,2,0
448,1,1,34.0,0,0,0,1
367,1,0,60.0,1,0,1,1
402,3,1,26.0,0,0,0,0
14,3,1,39.0,1,5,0,0
203,3,1,34.0,0,0,0,0
870,3,1,4.0,1,1,0,1
635,3,0,9.0,3,2,0,0
570,3,1,32.0,0,0,0,1
264,1,1,40.0,0,0,0,0
386,2,1,18.0,0,0,0,0
117,3,1,70.5,0,0,2,0
148,3,0,9.0,2,2,0,0
647,3,1,19.0,0,0,0,0
74,3,1,26.0,1,0,1,0
810,1,0,33.0,1,0,0,1
178,1,0,50.0,0,0,1,0
132,3,1,20.0,0,0,0,0
490,3,1,9.0,1,1,0,1
415,3,1,44.0,0,0,0,1
869,3,1,29.69911764705882,0,0,0,0
744,3,1,24.0,1,0,0,0
712,1,1,29.69911764705882,0,0,0,0
549,3,1,33.0,1,1,0,0
298,1,0,2.0,1,2,0,0
799,3,1,30.0,0,0,1,0
334,3,1,16.0,2,0,0,0
824,3,0,27.0,0,1,0,1
241,3,0,29.69911764705882,1,0,1,0
239,2,1,19.0,0,0,0,0
370,1,0,24.0,0,0,1,1
71,2,1,32.0,0,0,0,0
503,3,0,29.69911764705882,0,0,2,0
403,3,0,21.0,1,0,0,0
717,1,0,38.0,0,0,1,1
835,3,1,18.0,0,0,0,0
891,3,1,32.0,0,0,2,0
562,3,1,40.0,0,0,0,0
620,2,1,26.0,0,0,0,0
147,3,1,27.0,0,0,0,1
329,3,0,31.0,1,1,0,1
40,3,0,14.0,1,0,1,1
584,1,1,36.0,0,0,1,0
418,2,0,18.0,0,2,0,1
190,3,1,36.0,0,0,0,0
422,3,1,21.0,0,0,2,0
616,2,0,24.0,1,2,0,1
106,3,1,28.0,0,0,0,0
521,1,0,30.0,0,0,0,1
42,2,0,27.0,1,0,0,0
714,3,1,29.0,0,0,0,0
223,3,1,51.0,0,0,0,0
872,1,0,47.0,1,1,0,1
527,2,0,50.0,0,0,0,1
783,1,1,29.0,0,0,0,0
498,3,1,29.69911764705882,0,0,0,0
243,2,1,29.0,0,0,0,0
143,3,0,24.0,1,0,0,1
13,3,1,20.0,0,0,0,0
713,1,1,48.0,1,0,0,1
54,2,0,29.0,1,0,0,1
149,2,1,36.5,0,2,0,0
488,1,1,58.0,0,0,1,0
472,3,1,38.0,0,0,0,0
808,3,0,18.0,0,0,0,0
571,2,1,62.0,0,0,0,1
680,1,1,36.0,0,1,1,1
208,3,1,26.0,0,0,1,1
676,3,1,18.0,0,0,0,0
174,3,1,21.0,0,0,0,0
225,1,1,38.0,1,0,0,1
109,3,1,38.0,0,0,0,0
246,1,1,44.0,2,0,2,0
206,3,0,2.0,0,1,0,0
693,3,1,29.69911764705882,0,0,0,1
320,1,0,40.0,1,1,1,1
441,2,0,45.0,1,1,0,1
125,1,1,54.0,0,1,0,0
544,2,1,32.0,1,0,0,1
120,3,0,2.0,4,2,0,0
483,3,1,50.0,0,0,0,0
542,3,0,9.0,4,2,0,0
731,1,0,29.0,0,0,0,1
603,1,1,29.69911764705882,0,0,0,0
212,2,0,35.0,0,0,0,1
875,2,0,28.0,1,0,1,1
601,2,0,24.0,2,1,0,1
879,3,1,29.69911764705882,0,0,0,0
852,3,1,74.0,0,0,0,0
108,3,1,29.69911764705882,0,0,0,1
679,3,0,43.0,1,6,0,0
154,3,1,40.5,0,2,0,0
467,2,1,29.69911764705882,0,0,0,0
598,3,1,49.0,0,0,0,0
579,3,0,29.69911764705882,1,0,1,0
605,1,1,35.0,0,0,1,1
64,3,1,4.0,3,2,0,0
275,3,0,29.69911764705882,0,0,2,1
134,2,0,29.0,1,0,0,1
378,1,1,27.0,0,2,1,0
168,3,0,45.0,1,4,0,0
327,3,1,61.0,0,0,0,0
633,1,1,32.0,0,0,1,1
5,3,1,35.0,0,0,0,0
155,3,1,29.69911764705882,0,0,0,0
593,3,1,47.0,0,0,0,0
30,3,1,29.69911764705882,0,0,0,0
556,1,1,62.0,0,0,0,0
534,3,0,29.69911764705882,0,2,1,1
586,1,0,18.0,0,2,0,1
9,3,0,27.0,0,2,0,1
245,3,1,30.0,0,0,1,0
129,3,0,29.69911764705882,1,1,1,1
325,3,1,29.69911764705882,8,2,0,0
440,2,1,31.0,0,0,0,0
193,3,0,19.0,1,0,0,1
684,3,1,14.0,5,2,0,0
608,1,1,27.0,0,0,0,1
93,1,1,46.0,1,0,0,0
182,2,1,29.69911764705882,0,0,1,0
128,3,1,24.0,0,0,0,1
428,2,0,19.0,0,0,0,1
588,1,1,60.0,1,1,1,1
745,3,1,31.0,0,0,0,1
84,1,1,28.0,0,0,0,0
235,2,1,24.0,0,0,0,0
703,3,0,18.0,0,1,1,0
785,3,1,25.0,0,0,0,0
773,2,0,57.0,0,0,0,0
478,3,1,29.0,1,0,0,0
788,3,1,8.0,4,1,2,0
511,3,1,29.0,0,0,2,1
232,3,1,29.0,0,0,0,0
91,3,1,29.0,0,0,0,0
369,3,0,29.69911764705882,0,0,2,1
253,1,1,62.0,0,0,0,0
15,3,0,14.0,0,0,0,0
654,3,0,29.69911764705882,0,0,2,1
261,3,1,29.69911764705882,0,0,2,0
319,1,0,31.0,0,2,0,1
90,3,1,24.0,0,0,0,0
94,3,1,26.0,1,2,0,0
204,3,1,45.5,0,0,1,0
439,1,1,64.0,1,4,0,0
495,3,1,21.0,0,0,0,0
230,3,0,29.69911764705882,3,1,0,0
770,3,1,32.0,0,0,0,0
181,3,0,29.69911764705882,8,2,0,0
22,2,1,34.0,0,0,0,1
734,2,1,23.0,0,0,0,0
494,1,1,71.0,0,0,1,0
361,3,1,40.0,1,4,0,0
666,2,1,32.0,2,0,0,0
345,2,1,36.0,0,0,0,0
540,1,0,22.0,0,2,1,1
447,2,0,13.0,0,1,0,1
567,3,1,19.0,0,0,0,0
432,3,0,29.69911764705882,1,0,0,1
681,3,0,29.69911764705882,0,0,2,0
162,2,0,40.0,0,0,0,1
165,3,1,1.0,4,1,0,0
337,1,1,29.0,1,0,0,0
888,1,0,19.0,0,0,0,1
133,3,0,47.0,1,0,0,0
39,3,0,18.0,2,0,0,0
170,3,1,28.0,0,0,0,0
661,1,1,50.0,2,0,0,1
287,3,1,30.0,0,0,0,1
338,1,0,41.0,0,0,1,1
849,2,1,28.0,0,1,0,0
711,1,0,24.0,0,0,1,1
881,2,0,25.0,0,1,0,1
210,1,1,40.0,0,0,1,1
335,1,0,29.69911764705882,1,0,0,1
229,2,1,18.0,0,0,0,0
876,3,0,15.0,0,0,1,1
831,3,0,15.0,1,0,1,1
747,3,1,16.0,1,1,0,0
796,2,1,39.0,0,0,0,0
363,3,0,45.0,0,1,1,0
175,1,1,56.0,0,0,1,0
139,3,1,16.0,0,0,0,0
564,3,1,29.69911764705882,0,0,0,0
863,1,0,48.0,0,0,0,1
491,3,1,29.69911764705882,1,0,0,0
568,3,0,29.0,0,4,0,0
60,3,1,11.0,5,2,0,0
475,3,0,22.0,0,0,0,0
62,1,0,38.0,0,0,3,1
615,3,1,35.0,0,0,0,0
3,3,0,26.0,0,0,0,1
578,1,0,39.0,1,0,0,1
576,3,1,19.0,0,0,0,0
687,3,1,14.0,4,1,0,0
214,2,1,30.0,0,0,0,0
774,3,1,29.69911764705882,0,0,1,0
828,2,1,1.0,0,2,1,1
599,3,1,29.69911764705882,0,0,1,0
461,1,1,48.0,0,0,0,1
450,1,1,52.0,0,0,0,1
126,3,1,12.0,1,0,1,1
486,3,0,29.69911764705882,3,1,0,0
452,3,1,29.69911764705882,1,0,0,0
442,3,1,20.0,0,0,0,0
612,3,1,29.69911764705882,0,0,0,0
152,1,0,22.0,1,0,0,1
858,1,1,51.0,0,0,0,1
151,2,1,51.0,0,0,0,0
138,1,1,37.0,1,0,0,0
368,3,0,29.69911764705882,0,0,1,1
131,3,1,33.0,0,0,1,0
260,2,0,50.0,0,1,0,1
44,2,0,3.0,1,2,1,1
163,3,1,26.0,0,0,0,0
413,1,0,33.0,1,0,2,1
701,1,0,18.0,1,0,1,1
451,2,1,36.0,1,2,0,0
857,1,0,45.0,1,1,0,1
806,3,1,31.0,0,0,0,0
86,3,0,33.0,3,0,0,1
414,2,1,29.69911764705882,0,0,0,0
514,1,0,54.0,1,0,1,1
17,3,1,2.0,4,1,2,0
671,2,0,40.0,1,1,0,1
558,1,1,29.69911764705882,0,0,1,0
200,2,0,24.0,0,0,0,0
473,2,0,33.0,1,2,0,1
78,3,1,29.69911764705882,0,0,0,0
217,3,0,27.0,0,0,0,1
16,2,0,55.0,0,0,0,1
708,1,1,42.0,0,0,0,1
463,1,1,47.0,0,0,0,0
845,3,1,17.0,0,0,0,0
664,3,1,36.0,0,0,0,0
277,3,0,45.0,0,0,0,0
716,3,1,19.0,0,0,0,0
864,3,0,29.69911764705882,8,2,0,0
357,1,0,22.0,0,1,0,1
395,3,0,24.0,0,2,0,1
501,3,1,17.0,0,0,0,0
672,1,1,31.0,1,0,0,0
572,1,0,53.0,2,0,0,1
87,3,1,16.0,1,3,0,0
95,3,1,59.0,0,0,0,0
250,2,1,54.0,1,0,0,0
383,3,1,32.0,0,0,0,0
507,2,0,33.0,0,2,0,1
779,3,1,29.69911764705882,0,0,2,0
362,2,1,29.0,1,0,1,0
348,3,0,29.69911764705882,1,0,0,1
652,2,0,18.0,0,1,0,1
199,3,0,29.69911764705882,0,0,2,1
696,2,1,52.0,0,0,0,0
194,2,1,3.0,1,1,0,1
477,2,1,34.0,1,0,0,0
124,2,0,32.5,0,0,0,1
485,1,1,25.0,1,0,1,1
638,2,1,31.0,1,1,0,0
842,2,1,16.0,0,0,0,0
623,3,1,20.0,1,1,1,1
727,2,0,30.0,3,0,0,1
735,2,1,23.0,0,0,0,0
607,3,1,30.0,0,0,0,0
648,1,1,56.0,0,0,1,1
811,3,1,26.0,0,0,0,0
801,2,1,34.0,0,0,0,0
401,3,1,39.0,0,0,0,1
340,1,1,45.0,0,0,0,0
583,2,1,54.0,0,0,0,0
767,1,1,29.69911764705882,0,0,1,0
427,2,0,28.0,1,0,0,1
600,1,1,49.0,1,0,1,1
79,2,1,0.83,0,2,0,1
43,3,1,29.69911764705882,0,0,1,0
61,3,1,22.0,0,0,1,0
634,1,1,29.69911764705882,0,0,0,0
321,3,1,22.0,0,0,0,0
164,3,1,17.0,0,0,0,0
371,1,1,25.0,1,0,1,1
840,1,1,29.69911764705882,0,0,1,1
127,3,1,29.69911764705882,0,0,2,0
803,1,1,11.0,1,2,0,1
781,3,0,13.0,0,0,1,1
733,2,1,29.69911764705882,0,0,0,0
249,1,1,37.0,1,1,0,1
826,3,1,29.69911764705882,0,0,2,0
379,3,1,20.0,0,0,1,0
557,1,0,48.0,1,0,1,1
266,2,1,36.0,0,0,0,0
255,3,0,41.0,0,2,0,0
297,3,1,23.5,0,0,1,0
697,3,1,44.0,0,0,0,0
269,1,0,58.0,0,1,0,1
700,3,1,42.0,0,0,0,0
545,1,1,50.0,1,0,1,0
263,1,1,52.0,1,1,0,0
515,3,1,24.0,0,0,0,0
211,3,1,24.0,0,0,0,0
723,2,1,34.0,0,0,0,0
289,2,1,42.0,0,0,0,1
843,1,0,30.0,0,0,1,1
347,2,0,40.0,0,0,0,1
160,3,1,29.69911764705882,8,2,0,0
688,3,1,19.0,0,0,0,0
487,1,0,35.0,1,0,0,1
844,3,1,34.5,0,0,1,0
28,1,1,19.0,3,2,0,0
254,3,1,30.0,1,0,0,0
296,1,1,29.69911764705882,0,0,1,0
715,2,1,52.0,0,0,0,0
308,1,0,17.0,1,0,1,1
662,3,1,40.0,0,0,1,0
859,3,0,24.0,0,3,1,1
80,3,0,30.0,0,0,0,1
718,2,0,27.0,0,0,0,1
123,2,1,32.5,1,0,1,0
52,3,1,21.0,0,0,0,0
632,3,1,51.0,0,0,0,0
829,3,1,29.69911764705882,0,0,2,1
21,2,1,35.0,0,0,0,0
